PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_q40_F6L2LP_common.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6-17-2	6	54308477	54308674	+	143.5	NA	TTS (transcript:Zm00001d035837_T001)	NA	29	transcript:Zm00001d035837_T001								
4-4-2	4	23902273	23902470	+	143.5	NA	NA	NA	13131	transcript:Zm00001d049270_T002								
10-2	10	1982236	1982435	+	143.3	NA	NA	NA	-3466	transcript:Zm00001d023275_T001								
10-7-2	10	8522870	8523067	+	142.4	NA	NA	NA	21904	transcript:Zm00001d023516_T001								
5-12-2	5	215770255	215770452	+	142.4	NA	NA	NA	-1590	transcript:Zm00001d018164_T001								
1-26	1	125698888	125699087	+	142.1	NA	NA	NA	18677	transcript:Zm00001d030359_T001								
10-6-2	10	30380334	30380531	+	141.8	NA	promoter-TSS (transcript:Zm00001d023082_T001)	NA	-841	transcript:Zm00001d023082_T001								
1-27	1	125701211	125701410	+	141.6	NA	NA	NA	21000	transcript:Zm00001d030359_T001								
3-2	3	84257513	84257712	+	141.2	NA	NA	NA	-251087	transcript:Zm00001d000561_T001								
1-32	1	186700258	186700455	+	141.2	NA	TTS (transcript:Zm00001d022877_T001)	NA	164	transcript:Zm00001d022877_T001								
7-12	7	46254922	46255121	+	140.8	NA	TTS (transcript:Zm00001d019603_T001)	NA	927	transcript:Zm00001d019603_T001								
1-33-2	1	23985688	23985885	+	140.6	NA	NA	NA	8593	transcript:Zm00001d028141_T002								
8-10-2	8	181122125	181122322	+	140.6	NA	NA	NA	-36892	transcript:Zm00001d012792_T001								
5-14	5	215762894	215763091	+	139.4	NA	"intron (transcript:Zm00001d018162_T001, intron 3 of 3)"	NA	-1192	transcript:Zm00001d001741_T001								
2-18-2	2	176910205	176910402	+	139.4	NA	NA	NA	-5212	transcript:Zm00001d005510_T001								
4-5-2	4	115370395	115370592	+	138.9	NA	promoter-TSS (transcript:Zm00001d026874_T001)	NA	83	transcript:Zm00001d026874_T001								
2-17-2	2	206608955	206609152	+	138.9	NA	"intron (transcript:Zm00001d006402_T002, intron 4 of 6)"	NA	1184	transcript:Zm00001d006403_T001								
7-11	7	155435907	155436106	+	138.7	NA	NA	NA	11222	transcript:Zm00001d021542_T001								
2-7	2	66772727	66772926	+	138.7	NA	NA	NA	4738	transcript:Zm00001d003906_T001								
4-8-2	4	223931748	223931945	+	138.3	NA	NA	NA	-1734	transcript:Zm00001d053283_T001								
1-34	1	223353140	223353337	+	137.7	NA	"exon (transcript:Zm00001d022922_T001, exon 1 of 2)"	NA	171	transcript:Zm00001d022922_T001								
6-18-2	6	83730271	83730468	+	137.1	NA	promoter-TSS (transcript:Zm00001d036307_T004)	NA	30	transcript:Zm00001d036307_T004								
5-15	5	216134286	216134483	+	137.1	NA	NA	NA	-4418	transcript:Zm00001d018192_T001								
7-19-2	7	46254357	46254554	+	136.5	NA	NA	NA	1493	transcript:Zm00001d019603_T001								
8-11-2	8	142423030	142423227	+	135.9	NA	NA	NA	-19925	transcript:Zm00001d011188_T001								
2-22-2	2	120260577	120260774	+	135.9	NA	NA	NA	-46168	transcript:Zm00001d004587_T001								
7-21-2	7	155434389	155434586	+	135.9	NA	NA	NA	11826	transcript:Zm00001d001261_T001								
1-35-2	1	125699589	125699786	+	135.9	NA	NA	NA	19377	transcript:Zm00001d030359_T001								
4-6-2	4	82928833	82929030	+	135.3	NA	NA	NA	-1264	transcript:Zm00001d050350_T001								
2-21-2	2	116463106	116463303	+	135.3	NA	NA	NA	17451	transcript:Zm00001d004521_T004								
4-7-2	4	95855128	95855325	+	135.3	NA	NA	NA	57770	transcript:Zm00001d026862_T001								
2-23-2	2	152227436	152227633	+	134.8	NA	TTS (transcript:Zm00001d000947_T001)	NA	-664	transcript:Zm00001d004984_T001								
7-20-2	7	18705631	18705828	+	134.8	NA	NA	NA	7509	transcript:Zm00001d019137_T001								
3-5-2	3	74908248	74908445	+	134.8	NA	TTS (transcript:Zm00001d040880_T001)	NA	1853	transcript:Zm00001d040880_T001								
2-19-2	2	236065161	236065358	+	134.8	NA	NA	NA	-2636	transcript:Zm00001d007602_T001								
10-8-2	10	42591250	42591447	+	134.2	NA	NA	NA	-79945	transcript:Zm00001d024083_T002								
3-4-2	3	95744384	95744581	+	134.2	NA	NA	NA	-120531	transcript:Zm00001d041079_T001								
2-24	2	176907914	176908111	+	133.6	NA	NA	NA	-2921	transcript:Zm00001d005510_T001								
6-21	6	102092403	102092600	+	133.6	NA	NA	NA	-9520	transcript:Zm00001d036819_T022								
3-6-2	3	150271903	150272100	+	133.6	NA	NA	NA	-12592	transcript:Zm00001d042087_T001								
1-36-2	1	136658676	136658873	+	133.6	NA	NA	NA	48133	transcript:Zm00001d030479_T001								
8-12-2	8	160930751	160930948	+	133.6	NA	NA	NA	-6193	transcript:Zm00001d011759_T001								
3-7-2	3	50024979	50025176	+	133.6	NA	NA	NA	77214	transcript:Zm00001d040563_T005								
6-20-2	6	66592400	66592597	+	133.6	NA	"exon (transcript:Zm00001d036020_T005, exon 3 of 6)"	NA	1176	transcript:Zm00001d036020_T005								
5-13-2	5	111354740	111354937	+	133.0	NA	NA	NA	-16584	transcript:Zm00001d001622_T001								
6-22	6	83737588	83737785	+	132.4	NA	NA	NA	7347	transcript:Zm00001d036307_T004								
1-37-2	1	1988	2185	+	132.4	NA	NA	NA	-42203	transcript:Zm00001d027230_T001								
2-25-2	2	206606432	206606629	+	131.8	NA	"intron (transcript:Zm00001d006402_T001, intron 5 of 5)"	NA	-1339	transcript:Zm00001d006403_T001								
1-28	1	125699601	125699800	+	131.6	NA	NA	NA	19390	transcript:Zm00001d030359_T001								
5-16-2	5	215762265	215762462	+	131.2	NA	"exon (transcript:Zm00001d018162_T001, exon 4 of 4)"	NA	-1821	transcript:Zm00001d001741_T001								
8-9	8	181122082	181122281	+	131.2	NA	NA	NA	-36850	transcript:Zm00001d012792_T001								
1-29	1	281311668	281311867	+	130.8	NA	NA	NA	-24596	transcript:Zm00001d034020_T002								
9-4-2	9	34831061	34831258	+	130.7	NA	NA	NA	15677	transcript:Zm00001d045713_T001								
6-12	6	14282303	14282502	+	130.4	NA	NA	NA	363648	transcript:Zm00001d001303_T001								
6-23-2	6	13621211	13621408	+	130.1	NA	NA	NA	-32951	transcript:Zm00001d001302_T001								
1-38-2	1	148852336	148852533	+	130.1	NA	NA	NA	-29211	transcript:Zm00001d030618_T001								
2-26-2	2	189501874	189502071	+	128.9	NA	NA	NA	4084	transcript:Zm00001d000989_T001								
7-14	7	155434345	155434544	+	128.3	NA	NA	NA	11783	transcript:Zm00001d001261_T001								
2-27-2	2	206604239	206604436	+	128.3	NA	"exon (transcript:Zm00001d006402_T001, exon 6 of 6)"	NA	-1816	transcript:Zm00001d006401_T001								
2-28-2	2	68627500	68627697	+	128.3	NA	NA	NA	-35032	transcript:Zm00001d003925_T001								
2-29	2	176911340	176911537	+	127.7	NA	NA	NA	4417	transcript:Zm00001d005512_T001								
4-9-2	4	185249972	185250169	+	127.7	NA	"intron (transcript:Zm00001d052266_T001, intron 6 of 6)"	NA	4091	transcript:Zm00001d052266_T001								
9-6-2	9	34854213	34854410	+	126.6	NA	NA	NA	2329	transcript:Zm00001d045714_T001								
8-13-2	8	96931958	96932155	+	126.0	NA	"intron (transcript:Zm00001d010049_T002, intron 1 of 1)"	NA	1503	transcript:Zm00001d010049_T002								
2-30-2	2	102099764	102099961	+	125.4	NA	NA	NA	-8471	transcript:Zm00001d004306_T001								
1-39-2	1	76527212	76527409	+	125.4	NA	TTS (transcript:Zm00001d029563_T001)	NA	5817	transcript:Zm00001d029563_T002								
9-5-2	9	34831775	34831972	+	125.4	NA	NA	NA	16391	transcript:Zm00001d045713_T001								
4-10-2	4	16704824	16705021	+	125.4	NA	NA	NA	4682	transcript:Zm00001d049120_T001								
5-19-2	5	215771879	215772076	+	125.4	NA	promoter-TSS (transcript:Zm00001d018164_T001)	NA	34	transcript:Zm00001d018164_T001								
8-10	8	177441293	177441492	+	124.9	NA	NA	NA	15145	transcript:Zm00001d012628_T001								
5-17-2	5	120020783	120020980	+	124.8	NA	NA	NA	271851	transcript:Zm00001d015789_T005								
7-23-2	7	179725629	179725826	+	124.2	NA	promoter-TSS (transcript:Zm00001d022539_T001)	NA	-580	transcript:Zm00001d022539_T001								
1-30	1	125702296	125702495	+	124.1	NA	NA	NA	22085	transcript:Zm00001d030359_T001								
1-41-2	1	8204747	8204944	+	123.6	NA	"exon (transcript:Zm00001d022665_T001, exon 1 of 1)"	NA	494	transcript:Zm00001d022666_T001								
2-31-2	2	98026758	98026955	+	123.6	NA	TTS (transcript:Zm00001d004263_T001)	NA	420	transcript:Zm00001d004263_T001								
2-32-2	2	152229150	152229347	+	123.0	NA	TTS (transcript:Zm00001d004984_T001)	NA	314	transcript:Zm00001d004985_T001								
2-8	2	206607358	206607557	+	122.8	NA	"intron (transcript:Zm00001d006402_T002, intron 4 of 6)"	NA	-412	transcript:Zm00001d006403_T001								
4-1	4	37350730	37350929	+	122.8	NA	NA	NA	-74355	transcript:Zm00001d049607_T001								
10-9-2	10	100538632	100538829	+	122.5	NA	NA	NA	-1208	transcript:Zm00001d025030_T001								
3-9-2	3	21444035	21444232	+	122.5	NA	NA	NA	19002	transcript:Zm00001d039977_T001								
7-24-2	7	155430754	155430951	+	122.5	NA	NA	NA	8191	transcript:Zm00001d001261_T001								
2-9	2	60104661	60104860	+	122.0	NA	"intron (transcript:Zm00001d003807_T008, intron 4 of 5)"	NA	2343	transcript:Zm00001d003807_T008								
2-10	2	66783634	66783833	+	122.0	NA	promoter-TSS (transcript:Zm00001d003910_T001)	NA	184	transcript:Zm00001d000838_T001								
2-33-2	2	176914350	176914547	+	121.9	NA	NA	NA	1407	transcript:Zm00001d005512_T001								
8-14-2	8	111066957	111067154	+	121.9	NA	NA	NA	28008	transcript:Zm00001d010360_T001								
1-42-2	1	125701216	125701413	+	121.3	NA	NA	NA	21004	transcript:Zm00001d030359_T001								
7-15	7	46265773	46265972	+	120.8	NA	NA	NA	2550	transcript:Zm00001d001139_T001								
5-20-2	5	186224210	186224407	+	120.7	NA	"exon (transcript:Zm00001d017126_T002, exon 3 of 9)"	NA	1977	transcript:Zm00001d017126_T001								
2-11	2	176907118	176907317	+	120.3	NA	NA	NA	-2126	transcript:Zm00001d005510_T001								
4-2	4	26177523	26177722	+	120.3	NA	TTS (transcript:Zm00001d049317_T001)	NA	79	transcript:Zm00001d049317_T001								
7-26-2	7	126248469	126248666	+	120.1	NA	"intron (transcript:Zm00001d020644_T001, intron 1 of 2)"	NA	-2117	transcript:Zm00001d020645_T001								
2-34-2	2	222328246	222328443	+	120.1	NA	NA	NA	-1736	transcript:Zm00001d007102_T002								
7-16	7	46257150	46257349	+	119.9	NA	NA	NA	-1301	transcript:Zm00001d019603_T001								
3-10-2	3	84257518	84257715	+	119.5	NA	NA	NA	-251091	transcript:Zm00001d000561_T001								
9-7-2	9	121726433	121726630	+	118.9	NA	NA	NA	4932	transcript:Zm00001d047202_T001								
4-11-2	4	88742155	88742352	+	118.4	NA	NA	NA	-2519	transcript:Zm00001d050445_T001								
5-21-2	5	215770849	215771046	+	118.4	NA	promoter-TSS (transcript:Zm00001d018164_T001)	NA	-996	transcript:Zm00001d018164_T001								
3-11-2	3	86077063	86077260	+	118.4	NA	NA	NA	-75179	transcript:Zm00001d040971_T001								
2-36-2	2	136250274	136250471	+	118.4	NA	TTS (transcript:Zm00001d004752_T001)	NA	142	transcript:Zm00001d004752_T001								
7-18	7	155433569	155433768	+	117.8	NA	NA	NA	11007	transcript:Zm00001d001261_T001								
2-37-2	2	152231654	152231851	+	117.8	NA	NA	NA	-2190	transcript:Zm00001d004985_T001								
2-35-2	2	176913119	176913316	+	117.8	NA	NA	NA	2638	transcript:Zm00001d005512_T001								
8-11	8	160909338	160909537	+	117.8	NA	NA	NA	23447	transcript:Zm00001d011758_T001								
5-2	5	215769072	215769271	+	117.4	NA	NA	NA	-1906	transcript:Zm00001d018163_T001								
6-13	6	14324618	14324817	+	117.4	NA	NA	NA	321333	transcript:Zm00001d001303_T001								
5-1	5	215770258	215770457	+	117.4	NA	NA	NA	-1586	transcript:Zm00001d018164_T001								
1-44-2	1	125702507	125702704	+	117.2	NA	NA	NA	22295	transcript:Zm00001d030359_T001								
3-12	3	74906778	74906975	+	116.6	NA	"exon (transcript:Zm00001d040880_T001, exon 1 of 1)"	NA	383	transcript:Zm00001d040880_T001								
2-38-2	2	166808085	166808282	+	116.6	NA	NA	NA	-22214	transcript:Zm00001d000965_T001								
7-20	7	46262393	46262592	+	116.2	NA	TTS (transcript:Zm00001d019604_T001)	NA	350	transcript:Zm00001d019604_T001								
1-31	1	132949818	132950017	+	115.7	NA	"exon (transcript:Zm00001d022805_T001, exon 1 of 1)"	NA	440	transcript:Zm00001d022805_T001								
9-8-2	9	34829629	34829826	+	115.4	NA	NA	NA	14245	transcript:Zm00001d045713_T001								
